smiles,predict_density,predict_DetoD,predict_DetoP,predict_DetoQ,predict_DetoT,predict_DetoV,predict_HOF_S,predict_BDE,SA_calculated
O=c1nc2n3c(=O)n([N+](=O)[O-])c(=O)n3n-2c([N+](=O)[O-])c(N[N+](=O)[O-])n1[N+](=O)[O-],1.9624584,8.667907,35.6701,5.356295,3.3343556,622.13,-75.46459,137.4167,4.428442950352862
O=c1c2[nH]c3c([N+](=O)[O-])c([N+](=O)[O-])oc3c2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.9627502,8.322408,33.03607,5.331562,3.0119503,561.6227,-218.90054,147.1772,4.09828989670348
Nc1c([N+](=O)[O-])nc2n([N+](=O)[O-])c(=O)[nH]c([N+](=O)[O-])c1-2,1.931203,8.089403,31.00055,4.8611403,2.9707844,613.0622,-59.379436,149.39809,3.916098931486111
O=[N+]([O-])c1nc2c3c(c1[N+](=O)[O-])C=N[N+]([O-])([O-])C=3N([N+](=O)[O-])N([N+](=O)[O-])C=2,1.8869251,8.4123335,32.938404,6.2392793,3.6312318,578.87164,336.94968,124.36456,4.882194434210719
O=[N+]([O-])N=c1[nH]c([N+](=O)[O-])nc2oc([N+](=O)[O-])nc12,1.9159871,8.370497,32.848698,5.4218893,3.2599692,600.58954,95.28833,181.58804,4.283972925424969
O=[N+]([O-])c1nnc2c([N+](=O)[O-])c([N+](=O)[O-])c3[nH]nnn3c1-2,1.9045833,8.387106,32.963146,6.0130715,3.5431333,587.931,557.3873,234.98413,3.8517496933066635
O=[N+]([O-])c1nc2c([N+](=O)[O-])n3nc([N+](=O)[O-])n([N+](=O)[O-])c3c([N+](=O)[O-])c-2c1[N+](=O)[O-],1.9442925,8.807743,36.691383,6.4141865,3.7243109,576.6441,334.25122,119.08383,4.081288233921622
O=c1c2nnn([N+](=O)[O-])c2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.9744451,8.94716,37.96481,5.8857517,3.647124,618.6446,118.07483,117.58211,4.183076742137
O=c1[nH]c2nc3c([N+](=O)[O-])nc4n[nH]c([N+](=O)[O-])c4c3nc2c(=O)n1[N+](=O)[O-],1.8878797,7.4560556,26.192663,4.385612,2.4200003,552.8694,58.963764,174.01613,3.9928852774561854
O=c1c2nc([N+](=O)[O-])nc([N+](=O)[O-])c2c([N+](=O)[O-])c2nc3nc4[nH]nnc4cc3c-2n1[N+](=O)[O-],1.8218098,7.3675127,24.986128,4.903486,2.6326237,537.3591,367.5242,142.37161,4.198112109792744
O=c1nc([N+](=O)[O-])[nH]c2nc([N+](=O)[O-])c([N+](=O)[O-])nc12,1.887145,7.886867,29.027525,4.928319,2.813735,571.7664,20.401278,214.56119,3.5101918476410745
O=c1[nH]c2c([nH]1)n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],1.9587928,8.1714735,31.762152,4.4258003,2.7966597,635.42334,-220.71518,163.98526,3.9632649588648157
