smiles,predict_density,predict_BDE,SA_calculated
O=c1c2c([N+](=O)[O-])c([N+](=O)[O-])[nH]c2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.9839048,154.7297,4.044726474407993
O=c1[nH]c2c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c-2nn1[N+](=O)[O-],1.9824362,171.39618,3.689001899696878
O=[N+]([O-])c1c([N+](=O)[O-])c([N+](=O)[O-])c2c(nnn2[N+](=O)[O-])c1[N+](=O)[O-],1.9630876,114.34718,3.6152739950570147
Nc1c([N+](=O)[O-])c([N+](=O)[O-])c2[nH]c(=O)n([N+](=O)[O-])c(=O)n12,1.9545047,181.89902,3.7522461845347337
O=[N+]([O-])c1nnc2c3c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c3nn2c1[N+](=O)[O-],1.9543358,207.40488,3.720312250610945
O=[N+]([O-])c1nn2c([N+](=O)[O-])c([N+](=O)[O-])oc2c1[N+](=O)[O-],1.9534086,239.33354,3.7230409433204317
O=[N+]([O-])c1c([N+](=O)[O-])c([N+](=O)[O-])c2nonc2c1[N+](=O)[O-],1.9493897,211.10205,3.0769998274451673
O=c1c([N+](=O)[O-])n[nH]c2c([N+](=O)[O-])c([N+](=O)[O-])nn12,1.9445888,243.58061,3.53015909737067
O=[N+]([O-])c1nc2c([N+](=O)[O-])c([N+](=O)[O-])[nH]n2c1[N+](=O)[O-],1.9418236,247.40036,3.7404178663973555
O=[N+]([O-])c1nn2c([N+](=O)[O-])noc2c1[N+](=O)[O-],1.940652,246.3236,3.7153004279944017
O=[N+]([O-])c1c([N+](=O)[O-])c([N+](=O)[O-])c2n[nH]nc2c1[N+](=O)[O-],1.933534,212.91333,3.240374372899713
O=c1[nH]c2c([N+](=O)[O-])c([N+](=O)[O-])[nH]c2nc1[N+](=O)[O-],1.932879,253.74179,3.560939097370671
O=[N+]([O-])c1c(O)c([N+](=O)[O-])c2nonc2c1[N+](=O)[O-],1.9266685,224.31221,3.1516163281399017
O=c1[nH]c2c([N+](=O)[O-])[nH]c(=O)c([N+](=O)[O-])c2[nH]1,1.9222494,279.027,3.3928881203020946
O=c1[nH]c2c([N+](=O)[O-])c3nnnn3c([N+](=O)[O-])c2[nH]1,1.9100716,293.0291,3.4492004228144584
O=[N+]([O-])c1c2c(c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-])OCO2,1.903627,210.82394,3.0334071001724405
O=c1[nH]c2[nH]c(=O)c([N+](=O)[O-])c([N+](=O)[O-])c2[nH]1,1.8986546,241.15388,3.234620427994402
O=c1[nH]c2c([N+](=O)[O-])cc([N+](=O)[O-])c([N+](=O)[O-])c2[nH]1,1.88905,236.82697,3.016364328139902
Nc1nc([N+](=O)[O-])n2nnnc2c1[N+](=O)[O-],1.8853949,266.30664,3.326603931520067
O=[N+]([O-])c1cc([N+](=O)[O-])c2nonc2c1[N+](=O)[O-],1.8781819,227.56403,2.8743058106073
O=c1[nH]c2c([N+](=O)[O-])c3nn[nH]c3c([N+](=O)[O-])c2[nH]1,1.8717433,294.29355,3.564549535240494
Nc1nn2c(=O)[nH]c([N+](=O)[O-])c2c(N)c1[N+](=O)[O-],1.866991,321.71216,3.6020455405581995
Nc1c(N)c([N+](=O)[O-])c2nonc2c1[N+](=O)[O-],1.8643059,292.9149,3.176118889532864
Nc1c([N+](=O)[O-])c2nnnn2c2nonc12,1.8622137,317.8267,3.4801423215021785
Nc1[nH]c(=O)c2[nH]c([N+](=O)[O-])nc2c1[N+](=O)[O-],1.8613508,304.0313,3.4666973510713257
O=c1[nH]c2c([N+](=O)[O-])cnc([N+](=O)[O-])c2[nH]c1=O,1.860173,278.32358,3.135845233684222
O=[N+]([O-])c1cc([N+](=O)[O-])c([N+](=O)[O-])c2c1OCO2,1.844107,231.16556,2.9092211952226847
O=c1[nH]c2cc([N+](=O)[O-])c([N+](=O)[O-])cc2nc1[N+](=O)[O-],1.8425928,234.6075,2.869015650253557
Nc1c([N+](=O)[O-])cn2nnnc2c1[N+](=O)[O-],1.8375479,301.08292,3.3348794234699772
O=[N+]([O-])c1cc([N+](=O)[O-])c2[nH]c([N+](=O)[O-])c([N+](=O)[O-])c2c1,1.8374397,258.8755,3.125305158893707
O=c1[nH]c2[nH]c(O)c([N+](=O)[O-])c2[nH]1,1.8359877,345.80264,3.5215237060527826
Nc1nc2c([N+](=O)[O-])n[nH]c2c(N)c1[N+](=O)[O-],1.8354619,311.23618,3.3827865818405565
O=[N+]([O-])c1c[nH]c([N+](=O)[O-])c1O,1.833394,318.4161,3.3736035961472917
O=c1[nH]c(=O)n2cnc([N+](=O)[O-])c2[nH]1,1.8290608,304.0437,3.2509749176759435
O=c1[nH]c(=O)c2c(=O)[nH]c([N+](=O)[O-])nc2[nH]1,1.8275121,271.9209,3.1043087615737353
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c2nonc12,1.8233808,287.78552,2.9394364896596024
O=[N+]([O-])c1cc2c(c([N+](=O)[O-])c1[N+](=O)[O-])OCO2,1.821697,217.9976,2.78433754137653
