smiles,predict_density,predict_DetoD,predict_DetoP,predict_DetoQ,predict_DetoT,predict_DetoV,predict_HOF_S,predict_BDE,SA_calculated
O=c1n([N+](=O)[O-])c(=O)n2[nH]c([N+](=O)[O-])nn12,1.9478352,8.671109,35.593426,5.259565,3.4018118,647.6921,-4.9978004,153.38303,4.280223200623057
O=c1c2nn[nH]c2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.9343303,8.45741,33.72597,5.234146,3.2623825,623.90985,56.737034,139.70279,4.080100427994402
O=c1oc(=N[N+](=O)[O-])[nH]c2nc([N+](=O)[O-])nn12,1.9117597,8.167895,31.166992,4.694571,2.9294844,626.8427,-61.19663,165.39163,4.166883973144904
O=c1[nH]c([N+](=O)[O-])c2nc([N+](=O)[O-])nc-2n1[N+](=O)[O-],1.9661387,8.466521,34.20817,5.264845,3.180561,604.6415,34.834415,131.10184,3.9347852512168258
N[N+]([O-])(c1nc([N+](=O)[O-])c2c([N+](=O)[O-])n[nH]c2n1)[N+](=O)[O-],1.8717355,8.4668,33.21515,5.6657457,3.6597977,649.8551,267.91837,125.141525,4.624429488554325
O=[N+]([O-])N=c1[nH]c([N+](=O)[O-])nc2nc([N+](=O)[O-])nn12,1.9355971,8.700603,35.62605,5.6065426,3.6043482,643.5462,330.78497,180.3913,4.052953920900083
O=c1n([N+](=O)[O-])nc2[nH]nc([N+](=O)[O-])n12,1.9492422,8.7242365,36.016743,5.44849,3.532152,649.85315,153.9403,149.60619,4.055835426496224
O=c1[nH]c(=O)n2c([N+](=O)[O-])c(N[N+](=O)[O-])nc([N+](=O)[O-])n12,1.9410529,8.346651,32.925053,4.920403,3.0781286,627.6382,-133.90347,138.5559,3.912093970082518
O=c1[nH]c2c(=O)n([N+](=O)[O-])c(=O)n([N+](=O)[O-])c2[nH]1,1.952833,7.920115,29.840853,4.180222,2.5319302,609.2051,-341.88376,155.10054,3.84599709538635
O=[N+]([O-])c1nc2n([N+](=O)[O-])c=2nc([N+](=O)[O-])[nH]1,1.8870741,8.550384,34.13777,5.809235,3.63988,626.15094,207.01547,124.03047,4.196075812609787
O=c1[nH]c(=O)n2c([N+](=O)[O-])nnc2n1[N+](=O)[O-],1.9456713,8.252914,32.239403,4.6810493,2.9225185,627.09125,-68.57268,136.9137,3.749903504917479
O=c1c2c([N+](=O)[O-])n[nH]c2nc2nc([N+](=O)[O-])c([N+](=O)[O-])nn12,1.8970829,7.949841,29.579105,5.04951,2.8975923,574.8686,222.7814,224.40181,3.686625380914281
O=c1[nH]c2c([N+](=O)[O-])n[nH]c2n2c(=O)nc([N+](=O)[O-])c(=O)n12,1.9176773,7.5879297,27.132929,4.1728854,2.3973157,577.1667,-148.39612,245.53903,3.8875590807851923
O=c1[nH]nc([N+](=O)[O-])n2nnc([N+](=O)[O-])c12,1.911187,8.364649,32.697315,5.455851,3.3331301,612.60486,220.33734,248.47383,3.5234286184610326
Nc1c([N+](=O)[O-])[nH]c(=O)c2nn([N+](=O)[O-])c([N+](=O)[O-])c12,1.9064126,8.087184,30.62678,5.1151834,3.0763068,603.90295,0.3839747,146.66335,3.8896368013085976
O=[N+]([O-])c1nnn2c([N+](=O)[O-])n[nH]c12,1.9219751,8.790268,36.187023,6.104853,3.9204376,643.19214,419.3942,280.60864,3.714489492574729
O=c1nc2n([N+](=O)[O-])nnn2c(=O)n1[N+](=O)[O-],1.9893026,8.811959,37.000706,5.3162394,3.3856165,639.0077,102.128204,125.13193,4.182146581840556
O=c1nc2[nH]nc([N+](=O)[O-])n2nc1[N+](=O)[O-],1.9142177,8.233258,31.771362,5.1315045,3.1376052,613.3816,174.29413,243.29225,3.662994629194486
O=c1[nH]nc([N+](=O)[O-])n2nc([N+](=O)[O-])nc12,1.9011809,8.245518,31.709797,5.199551,3.1863227,615.06366,176.55603,262.3631,3.561524861752625
O=c1c2[nH]nnc2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.9340187,8.451166,33.74531,5.2448053,3.264925,623.4321,56.68929,123.733154,4.0604358126097875
O=c1[nH]c(=O)n([N+](=O)[O-])c2c1n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],1.9767977,8.48213,34.273357,4.980688,3.0371485,611.0679,-265.46814,131.7289,4.025805158893708
