smiles,predict_density,predict_BDE,SA_calculated
O=c1c2c(nc([N+](=O)[O-])n1[N+](=O)[O-])n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],1.9985459,126.31058,4.15556141573785
O=c1[nH]c2c(c(=N[N+](=O)[O-])n([N+](=O)[O-])c(=O)n2[N+](=O)[O-])n1N[N+](=O)[O-],1.9895954,136.52153,4.47144602907605
O=c1n([N+](=O)[O-])c(=N[N+](=O)[O-])c2nc([N+](=O)[O-])[nH]c2n1[N+](=O)[O-],1.9882904,127.32881,4.354466696050758
O=c1n([N+](=O)[O-])c2nnc([N+](=O)[O-])c([N+](=O)[O-])c2n1[N+](=O)[O-],1.9793204,119.84494,3.90689906568878
O=c1c2nn([N+](=O)[O-])c(=O)n2c([N+](=O)[O-])nn1[N+](=O)[O-],1.979285,146.15834,4.105687393024574
O=c1nc2c(nn1[N+](=O)[O-])c([N+](=O)[O-])nn2[N+](=O)[O-],1.9777702,126.10504,4.104026789678363
O=c1n([N+](=O)[O-])c(=O)n2c3c([N+](=O)[O-])c([N+](=O)[O-])nn3c([N+](=O)[O-])nn12,1.9776202,161.49396,4.11987360711072
O=c1[nH]c(=O)n([N+](=O)[O-])c2c1n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],1.9767977,131.7289,4.025805158893708
O=c1nc([N+](=O)[O-])c2nn([N+](=O)[O-])nc2n1[N+](=O)[O-],1.9748223,132.69669,4.076376020447594
O=c1c([N+](=O)[O-])c([N+](=O)[O-])n2c([N+](=O)[O-])nc3c(nc([N+](=O)[O-])n3[N+](=O)[O-])n12,1.9717456,137.82173,4.097976986180051
O=c1[nH]c2c([nH]c(=O)n2[N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.9694278,163.59998,3.9395853114256303
O=c1c2nc([N+](=O)[O-])nn2c([N+](=O)[O-])c([N+](=O)[O-])n1[N+](=O)[O-],1.9686086,139.16582,3.7865031142717775
O=c1[nH]n2c(=O)n([N+](=O)[O-])nc([N+](=O)[O-])c2c1[N+](=O)[O-],1.9677644,151.3803,3.8446607658056386
O=c1[nH]c([N+](=O)[O-])c([N+](=O)[O-])n1[N+](=O)[O-],1.9670807,153.00182,3.7793229973464273
O=c1n([N+](=O)[O-])nc([N+](=O)[O-])c2nc([N+](=O)[O-])nn12,1.9633088,140.60765,3.7668507896783634
O=[N+]([O-])c1c([N+](=O)[O-])c([N+](=O)[O-])c2c(nnn2[N+](=O)[O-])c1[N+](=O)[O-],1.9628737,114.26964,3.6152739950570147
O=c1[nH]c(=O)n([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],1.961721,142.66702,3.360310231214438
Nn1c([N+](=O)[O-])c([N+](=O)[O-])c(=O)n([N+](=O)[O-])c1=O,1.9608189,154.34941,3.597993887530377
O=c1[nH]c(=O)n([N+](=O)[O-])c2[nH]c(=O)n([N+](=O)[O-])c12,1.9571288,159.97314,3.8361103523421596
O=c1[nH]c(=O)n([N+](=O)[O-])nc1[N+](=O)[O-],1.9463868,148.65964,3.5334344318459845
Nc1c([N+](=O)[O-])n2c([N+](=O)[O-])c([N+](=O)[O-])nc2n1[N+](=O)[O-],1.945218,165.03119,3.8832128512014004
O=c1c([N+](=O)[O-])c([N+](=O)[O-])nc2[nH]c([N+](=O)[O-])c([N+](=O)[O-])n12,1.943216,224.18588,3.730880442206999
O=c1[nH]n2c([N+](=O)[O-])nc([N+](=O)[O-])c2nc1[N+](=O)[O-],1.9428589,241.13464,3.6941667896783628
O=[N+]([O-])c1nnc2c([N+](=O)[O-])c([N+](=O)[O-])nn2n1,1.9424185,241.1003,3.5702625413765308
Nc1c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c2nc([N+](=O)[O-])nn12,1.9413943,217.91016,3.436873154757607
O=[N+]([O-])c1nn2c([N+](=O)[O-])noc2c1[N+](=O)[O-],1.9408203,246.3276,3.7153004279944017
O=c1[nH]n2nc([N+](=O)[O-])nc2c([N+](=O)[O-])c1[N+](=O)[O-],1.9391556,227.61778,3.554436943524517
O=[N+]([O-])c1nc([N+](=O)[O-])n2nnnc2c1[N+](=O)[O-],1.9362438,223.59761,3.3998135029149914
Nc1c([N+](=O)[O-])nc2c([N+](=O)[O-])c([N+](=O)[O-])nn2c1[N+](=O)[O-],1.9351819,244.40382,3.5965484584013314
O=[N+]([O-])c1nn2nnnc2c([N+](=O)[O-])c1[N+](=O)[O-],1.9341731,216.24835,3.36183754137653
O=c1[nH]nc([N+](=O)[O-])c2c([N+](=O)[O-])nc([N+](=O)[O-])n12,1.9339263,237.87494,3.5034830973706708
O=[N+]([O-])c1nc2n(O)c([N+](=O)[O-])nn2c1[N+](=O)[O-],1.9338224,247.42278,3.7863260642897885
O=c1[nH]nc([N+](=O)[O-])n2nc([N+](=O)[O-])c([N+](=O)[O-])c12,1.9336559,245.13933,3.5035412512168254
O=[N+]([O-])c1nc2[nH]c([N+](=O)[O-])c([N+](=O)[O-])n2n1,1.9326926,252.49605,3.82519273568671
Nn1c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],1.9318218,245.48691,3.3831446567611447
O=[N+]([O-])c1nc([N+](=O)[O-])n2c([N+](=O)[O-])n[nH]c12,1.9317592,252.55412,3.760657351071325
Nc1c([N+](=O)[O-])c2[nH]nc([N+](=O)[O-])n2c1[N+](=O)[O-],1.9269841,269.76544,3.71911624432252
Nc1c([N+](=O)[O-])c2nnnn2c2c([N+](=O)[O-])c([N+](=O)[O-])nn12,1.9255494,259.24533,3.600054256795623
Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],1.9228678,213.14871,2.874949952173907
Nc1[nH]c([N+](=O)[O-])c([N+](=O)[O-])c(=O)c1[N+](=O)[O-],1.9223633,239.90762,3.381726689175082
O=[N+]([O-])c1nnn2c([N+](=O)[O-])n[nH]c12,1.9219751,280.60864,3.714489492574729
O=[N+]([O-])c1oc(O)c([N+](=O)[O-])c1[N+](=O)[O-],1.9217447,246.17026,3.392519758480031
O=c1[nH]nc([N+](=O)[O-])c2nc([N+](=O)[O-])nn12,1.9209089,254.47772,3.393831838496811
Nc1oc(=O)c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],1.912854,219.50552,3.1759792830927918
Nc1c([N+](=O)[O-])nn2nc([N+](=O)[O-])nc2c1[N+](=O)[O-],1.9097803,272.4478,3.6479760204475955
Nc1c([N+](=O)[O-])c(N)n2nc([N+](=O)[O-])nc2c1[N+](=O)[O-],1.90682,294.86008,3.461447156338182
Nc1c([N+](=O)[O-])c(O)c([N+](=O)[O-])c2nc([N+](=O)[O-])nn12,1.9062406,266.53522,3.4610397598884797
O=c1[nH]c([N+](=O)[O-])c([N+](=O)[O-])c(=O)[nH]1,1.9040217,243.2038,3.098561354922907
Nc1c([N+](=O)[O-])c(N)n2nnnc2c1[N+](=O)[O-],1.88641,322.82535,3.294417351071326
O=[N+]([O-])c1cc(O)c([N+](=O)[O-])c(O)c1[N+](=O)[O-],1.8694675,232.14857,2.905235454828034
O=[N+]([O-])c1c(O)oc(O)c1O,1.8629137,338.6672,3.465397039593933
Nc1nc([N+](=O)[O-])c([N+](=O)[O-])c(=O)[nH]1,1.8538717,239.63339,3.021599816461369
O=[N+]([O-])c1cn(O)c([N+](=O)[O-])c1[N+](=O)[O-],1.8522835,249.16017,3.2919821066581676
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c2nnnn12,1.8455988,294.42386,3.1551917669404608
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,1.8138337,252.89359,2.3040655485190644
Nc1nnc2c([N+](=O)[O-])cc([N+](=O)[O-])c(N)n12,1.7894652,295.99155,3.1991742741482483
O=[N+]([O-])c1c(O)coc1O,1.7887523,337.57056,3.3195575323559865
Nc1nc(=O)c([N+](=O)[O-])c(N)[nH]1,1.7852415,319.75906,2.917082504335877
Nc1nn2c(=O)[nH]ncc2c1[N+](=O)[O-],1.7822973,331.5897,3.305936860995782
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.7725649,284.25217,2.4413923777873556
Nc1nn2c(N)nnc2c(N)c1[N+](=O)[O-],1.7514046,340.94104,3.233955426496225
Nc1nn(N)c(N)c1[N+](=O)[O-],1.7412109,355.95166,3.5099569297038222
O=C(O)c1cc(=O)c(O)c(O)o1,1.715761,300.0936,2.8745167475120574
