idx,smiles,predict_density,predict_DetoD,predict_DetoP,predict_DetoQ,predict_DetoT,predict_DetoV,predict_HOF_S,predict_BDE,SA_calculated,SYBA
m1,O=[N+]([O-])c1c([N+](=O)[O-])c([N+](=O)[O-])c2n[nH]nc2c1[N+](=O)[O-],1.933534,8.616389,34.955788,6.2548103,3.620671,576.748,288.73035,212.91333,3.240374372899713,10.10880376967331
m2,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,1.8138337,7.6114655,26.215828,5.3399715,2.9816608,558.21326,-220.56395,252.89359,2.3040655485190644,24.09152179881109
m3,Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c2nonc12,1.8233808,7.674763,26.88197,5.563697,3.1579568,569.301,213.41748,287.78552,2.9394364896596024,28.138820868949356
m4,Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],1.9228678,8.424083,33.370686,5.6270204,3.4725983,618.1475,-45.49867,213.14871,2.874949952173907,11.762786583757457
m5,Nc1c(N)c([N+](=O)[O-])c2nonc2c1[N+](=O)[O-],1.8643059,7.8641214,28.6675,5.379837,3.2304296,603.8056,223.46448,292.9149,3.176118889532864,18.030871678515272
m6,O=[N+]([O-])c1c([N+](=O)[O-])c([N+](=O)[O-])c2nonc2c1[N+](=O)[O-],1.9493897,8.880651,37.19724,6.906629,3.869655,554.56946,317.1494,211.10205,3.0769998274451678,19.483891858936715
m7,O=c1[nH]c2c([N+](=O)[O-])c3nnnn3c([N+](=O)[O-])c2[nH]1,1.9100716,7.750156,28.095207,4.569078,2.6868572,590.90625,175.7615,293.0291,3.4492004228144584,14.65614367388696
m8,O=c1[nH]c2c([N+](=O)[O-])c3nn[nH]c3c([N+](=O)[O-])c2[nH]1,1.8717433,7.2706037,24.504927,4.0977077,2.3407335,575.22205,23.993258,294.29355,3.564549535240494,7.133081175574015
m9,O=c1nc2c(nn1[N+](=O)[O-])c([N+](=O)[O-])nn2[N+](=O)[O-],1.9777702,8.942782,38.01987,5.991317,3.6933093,615.3535,260.81662,126.10504,4.104026789678363,10.10176806392865
m10,O=c1nc([N+](=O)[O-])c2nn([N+](=O)[O-])nc2n1[N+](=O)[O-],1.9748223,8.943969,37.987347,6.0192294,3.7099216,615.13257,255.20013,132.69669,4.076376020447594,10.219551099582949
m11,O=c1n([N+](=O)[O-])nc([N+](=O)[O-])c2nc([N+](=O)[O-])nn12,1.9633088,8.90388,37.663948,5.9357996,3.6769342,618.2119,233.55392,140.60765,3.7668507896783634,10.803605505114026
m12,O=[N+]([O-])c1c2c(c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-])OCO2,1.903627,8.283907,31.973852,5.8234754,3.243747,553.65137,-248.5427,210.82394,3.0334071001724405,8.38646341152989
m13,O=c1[nH]c2c([N+](=O)[O-])cnc([N+](=O)[O-])c2[nH]c1=O,1.860173,7.049553,22.96166,3.8504312,2.1116421,552.34784,-273.49136,278.32358,3.135845233684222,15.445006752559422
m14,O=c1c2c(nc([N+](=O)[O-])n1[N+](=O)[O-])n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],1.9985459,8.9727125,38.528183,5.852957,3.5523126,605.21893,-15.19354,126.31058,4.15556141573785,10.082261144423091
m15,O=c1c2c([N+](=O)[O-])c([N+](=O)[O-])[nH]c2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.9839048,8.654068,35.73495,5.50056,3.2738292,593.3668,-156.58249,154.7297,4.044726474407993,7.37372344005556
m16,O=c1[nH]c(=O)n([N+](=O)[O-])c2c1n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],1.9767977,8.48213,34.273357,4.980688,3.0371485,611.0679,-265.46814,131.7289,4.025805158893708,8.08428324856004
m17,O=c1[nH]c2c([nH]c(=O)n2[N+](=O)[O-])c(=O)n1[N+](=O)[O-],1.9694278,7.9260616,30.075172,4.0844398,2.4778097,609.9699,-355.95917,163.59998,3.9395853114256303,2.9337539621350417
m18,O=c1[nH]c(=O)n([N+](=O)[O-])c2[nH]c(=O)n([N+](=O)[O-])c12,1.9571288,7.8697147,29.516504,4.0427113,2.4568357,611.87494,-365.0286,159.97314,3.83611035234216,5.012654680643256
