ID,smiles,density,DetoD,DetoP,DetoQ,DetoT,DetoV,HOF_S,BDE
XUMRON,[O-][N+](=O)c1cc(ccc1N/N=C/[C@H](c1ccccc1)C)[N+](=O)[O-],1.4045,4.97,9.5,3.149,2.021,641,21.4,298.0
GIJBEJ,O=C(C(=O)n1cc(c2c1cccc2)C)c1ccc(cc1)[N+](=O)[O-],1.3953,4.027,6.2,2.201,1.12,508,-289.7,283.3
CIJDAC,CCOC(=O)/C(=C(\N)/C)/[C@@H](c1cccc(c1)[N+](=O)[O-])C(C#N)C#N,1.314,4.297,6.8,2.018,1.377,682,-305.6,292.5
JILKEU,N#C[C@]1([N+](=O)[O-])[C@H]2[C@@H]1[C@@H]1C[C@H]2C=C1,1.395,5.176,10.3,4.206,2.676,636,256.7,179.6
FABRAD,CC(/N=C/c1cc(ccc1O)[N+](=O)[O-])C,1.364,4.544,7.8,2.038,1.536,753,-301.6,305.7
DARWEB,O=C(c1ccncc1)c1ccc(cc1)[N+](=O)[O-],1.4513,4.443,7.8,2.799,1.374,491,-87.5,284.7
SIDVOQ,[O-][N+](=O)c1ccc(cc1)N/N=C/c1ccc(c(c1)O)O,1.4869,4.797,9.2,2.622,1.505,574,-251.6,309.7
QUJGIL,OC(=O)c1cc(cc(c1c1c(cc(cc1C(=O)O)[N+](=O)[O-])C(=O)O)C(=O)O)[N+](=O)[O-],1.5578,5.074,10.6,2.261,1.085,479,-1594.9,287.6
NEZBIE,COc1ncc(c2c1[nH]cc2)OC(=O)c1ccc(cc1)[N+](=O)[O-],1.5034,4.55,8.3,2.383,1.193,500,-463.7,286.6
AFONOA,Nc1ccc(cc1/N=C/c1ccncc1)[N+](=O)[O-],1.4217,4.637,8.3,2.415,1.564,647,100.9,307.0
WAWBAY,COCCn1cnc2c1cc(cc2)[N+](=O)[O-],1.3987,4.813,8.9,2.367,1.678,709,-202.5,302.0
BAJBUJ,COC(=O)C1(NC(=O)c2c1c1ccccc1c(c2)[N+](=O)[O-])C(=O)OC,1.4871,4.419,7.8,2.071,1.011,488,-938.9,267.5
DIWFEU,Nc1ccccc1c1ccc(cc1)[N+](=O)[O-],1.3627,4.094,6.3,2.091,1.312,627,-36.2,295.8
COGGAI,[O-][N+](=O)c1ncn(n1)/N=N/n1cnc(n1)[N+](=O)[O-],1.8193,8.411,32.2,6.03,3.987,661,698.8,269.2
JEDSUG,O=C1N(CCN1[N+](=O)[O-])[N+](=O)[O-],1.7888,8.244,30.6,5.417,3.791,699,-121.9,150.8
XALNEF,CCOC(=O)C1=CC[C@H]2[C@@H]1C(=O)N(C2=O)c1ccccc1[N+](=O)[O-],1.4282,4.254,7.0,1.953,1.06,542,-806.8,268.8
OCALEL,C/C(=N\NC(=O)c1ccccc1[N+](=O)[O-])/c1ccccn1,1.336,4.428,7.3,2.399,1.513,630,-44.2,263.0
EJEJOS,[O-][N+](=O)c1cccc2c1nc(c1ccccn1)c(n2)c1ccccn1,1.3828,4.121,6.5,2.27,1.236,544,263.3,270.3
FACQAE,[O-][N+](=O)/N=c/1\[nH]nnn1/N=C/C1=C(C)[N+](=O)O[N-]1,1.7118,7.942,27.7,6.083,4.14,680,650.2,194.9
PNPAUR,O=C(Cc1ccc(cc1)[N+](=O)[O-])NCC(=O)O,1.4575,4.64,8.5,2.127,1.201,564,-705.7,295.3
LONSAK,O=C1CCC(=O)N1C(=O)c1ccc(cc1)[N+](=O)[O-],1.5052,4.696,8.9,2.346,1.165,496,-584.6,283.7
CUBHEO,COc1ccc(cc1)N1C(=O)c2c(C1=O)cccc2[N+](=O)[O-],1.5025,4.404,7.8,2.497,1.126,450,-467.8,258.6
HIBWUK,[O-][N+](=O)c1cc([N+](=O)[O-])c(cc1C(C)(C)C)C(C)(C)C,1.2301,4.5,7.1,2.302,2.024,879,-322.9,241.4
OBUJAY,COc1ccccc1/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C,1.4419,5.131,10.3,3.296,2.013,610,-121.5,299.3
XAKMAY,CN(CCNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C,1.4434,5.656,12.5,3.22,2.554,793,-149.5,286.1
YUYLEJ,COC(=O)/C=C/c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],1.5223,5.647,13.0,3.818,2.036,533,-401.2,278.3
FENDEH,O=c1c2cc(ccc2n2n1CCCCC2)[N+](=O)[O-],1.4159,4.639,8.3,2.121,1.538,725,-201.6,301.0
